radio,mcc,mnc,lac,cid,long,lat,operator
UMTS,404,67,61841,1368643,75.772018,23.178406,Jio
UMTS,404,67,61841,1368641,75.770044,23.183126,Jio
UMTS,404,67,61841,1368691,75.76735,23.186783,Jio
UMTS,404,67,61841,1368522,75.770645,23.183727,Jio
UMTS,404,67,61841,1368661,75.76622,23.187993,Jio
UMTS,404,67,61841,1368663,75.764236,23.186417,Jio
UMTS,404,67,61401,1368571,75.804977416992,23.155746459961,Jio
UMTS,404,67,61841,1368573,75.796113,23.157307,Jio
UMTS,404,67,61841,1368513,75.792274,23.15712,Jio
UMTS,404,67,61291,1127194,75.848922729492,22.817916870117,Jio
UMTS,404,67,61811,1132763,75.851549,22.82965,Jio
UMTS,404,67,61291,1132763,75.850571,22.814072,Jio
UMTS,404,67,61811,1126723,75.849609,22.808991,Jio
UMTS,404,67,61811,1129875,75.847092,22.817901,Jio
UMTS,404,67,61811,1129613,75.842743,22.810609,Jio
UMTS,404,67,61811,1129745,75.840682983398,22.815170288086,Jio
UMTS,404,67,61811,1126353,75.840683,22.812252,Jio
UMTS,404,67,61811,1139663,75.859367,22.737992,Jio
UMTS,404,67,61811,1138623,75.839309692383,22.809677124023,Jio
UMTS,404,67,61811,1139623,75.839309692383,22.806930541992,Jio
UMTS,404,67,61811,1128385,75.839309692383,22.806930541992,Jio
UMTS,404,67,61811,1129744,75.880389,22.774972,Jio
UMTS,404,67,61811,1139493,75.846176147461,22.816543579102,Jio
UMTS,404,67,61271,1128563,75.686874389648,22.605056762695,Jio
UMTS,404,67,61817,1128563,75.69228,22.599681,Jio
UMTS,404,67,61817,1128564,75.693554,22.59869,Jio
UMTS,404,67,61811,1138624,75.675951,22.606805,Jio
UMTS,404,67,61817,1128565,75.676677,22.606226,Jio
UMTS,404,67,61811,1138625,75.670216,22.610371,Jio
UMTS,404,67,61817,1126575,75.698547,22.59407,Jio
UMTS,404,67,61817,1138673,75.699234008789,22.59407043457,Jio
UMTS,404,67,61292,1131943,75.748672485352,22.614669799805,Jio
UMTS,404,67,61817,1131943,75.763386,22.613297,Jio
UMTS,404,67,61401,1368511,75.79948425293,23.168106079102,Jio
UMTS,404,67,61841,1368532,75.788498,23.175888,Jio
UMTS,404,67,61401,1368572,75.800857543945,23.154373168945,Jio
UMTS,404,67,61841,1368572,75.804205,23.15506,Jio
UMTS,404,36,36826,603385,86.13899230957,25.42854309082,Jio
UMTS,404,36,36821,536541,85.110855,25.621948,Jio
UMTS,404,36,36821,539110,85.151596069336,25.596084594727,Jio
UMTS,404,36,36821,536720,85.152969,25.600662,Jio
UMTS,404,52,52811,1781834,85.812149,20.290687,Jio
UMTS,404,52,52811,1782255,85.812149047852,20.291061401367,Jio
UMTS,404,52,52811,50594049,85.812149047852,20.291061401367,Jio
UMTS,404,52,52811,1782254,85.812836,20.289688,Jio
UMTS,404,52,52811,1782623,85.823135,20.356587,Jio
UMTS,404,36,36811,484325,86.171951,23.677597,Jio
UMTS,404,9,51832,435058,90.276718139648,26.41731262207,Jio
UMTS,404,9,51832,435079,90.277748,26.415939,Jio
UMTS,404,36,36811,484463,86.163712,23.637772,Jio
UMTS,404,9,51833,438708,90.541763305664,26.484603881836,Jio
UMTS,404,67,61821,1214000,77.403782,23.265512,Jio
UMTS,404,67,61821,50594049,77.40348815918,23.265609741211,Jio
UMTS,404,83,62831,2521129,88.366470336914,22.87971496582,Jio
UMTS,404,9,51811,276435,91.744238,26.16843,Jio
UMTS,404,18,60815,869161,77.632827758789,30.46989440918,Jio
UMTS,404,52,52811,1787173,85.821762084961,20.339126586914,Jio
UMTS,404,85,63825,2186170,87.277450561523,23.564987182617,Jio
UMTS,404,83,62821,2450513,88.377456665039,22.495193481445,Jio
UMTS,404,85,63841,2308672,88.422318,26.749649,Jio
UMTS,404,67,61811,1132765,75.840683,22.800522,Jio
UMTS,404,36,36827,551609,85.521796,25.19783,Jio
UMTS,404,9,51811,276356,91.737671,26.182251,Jio
UMTS,404,36,36826,537709,85.983810424805,25.465621948242,Jio
UMTS,404,36,36811,484423,86.163712,23.643265,Jio
UMTS,404,85,63841,2340012,89.378891,26.85585,Jio
UMTS,404,36,36861,822995,86.20491027832,22.762985229492,Jio
UMTS,404,67,61821,1223469,77.413788,23.168106,Jio
UMTS,404,52,52811,1782414,85.822449,20.284367,Jio
UMTS,404,85,63825,2186651,87.184066772461,23.578720092773,Jio
UMTS,404,83,62811,2375167,88.37471,22.598705,Jio
UMTS,404,83,13206,196764798,88.374710083008,22.588577270508,Jio
UMTS,404,83,12203,196764931,88.374710083008,22.588577270508,Jio
UMTS,404,83,12203,196764788,88.374710083008,22.588577270508,Jio
UMTS,404,83,62811,2372748,88.36784362793,22.55012512207,Jio
UMTS,404,83,62811,2376707,88.36784362793,22.55012512207,Jio
