State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area
1,15,61,Damhal Hanjipora,19104,106817,124.64,857.0,JAMMU & KASHMIR,Kulgam,153.2734274711168,100.0,100.0,100.0
1,16,62,Doda,41297,202716,1023.61,198.0,JAMMU & KASHMIR,Doda,40.34446713103623,89.34223248288245,88.86844080683827,98.60786823106457
1,16,63,Thathri,11129,59955,123.54,485.0,JAMMU & KASHMIR,Doda,90.08418326048243,100.0,100.0,100.0
1,16,64,Gandoh,13216,71889,105.08,684.0,JAMMU & KASHMIR,Doda,125.77084126379901,100.0,100.0,100.0
1,16,65,Bhaderwah,13994,75376,112.17,672.0,JAMMU & KASHMIR,Doda,124.75706516894,85.2950541286351,84.83635843933114,95.09672818044041
1,17,66,Banihal,25018,125045,563.08,222.0,JAMMU & KASHMIR,Ramban,44.430631526603676,96.88112279579352,97.4218562634903,99.27718974213255
1,17,67,Ramban,30472,158668,765.96,207.0,JAMMU & KASHMIR,Ramban,39.78275627970129,95.01411752842414,95.02165922814387,98.56258812470625
1,18,68,Kishtwar,24115,129489,780.3,166.0,JAMMU & KASHMIR,Kishtwar,30.904780212738693,88.52026040822001,88.76218121501141,99.919261822376
1,18,69,Marwah,7106,35572,307.35,116.0,JAMMU & KASHMIR,Kishtwar,23.120221246136325,100.0,100.0,100.0
1,18,70,Chhatroo,9729,44087,308.52,143.0,JAMMU & KASHMIR,Kishtwar,31.534422403733956,100.0,100.0,100.0
1,18,71,Atholi (Paddar),4259,21548,248.11,87.0,JAMMU & KASHMIR,Kishtwar,17.16577324573778,100.0,100.0,100.0
1,19,72,Udhampur,50555,275559,808.71,341.0,JAMMU & KASHMIR,Udhampur,62.51313820776298,64.53354816935756,63.96597764810602,95.3852431650406
1,19,73,Chenani,11125,64753,312.12,207.0,JAMMU & KASHMIR,Udhampur,35.643342304241955,93.53697898166881,92.75505617977528,99.42650262719465
1,19,74,Ramnagar,28317,167010,1025.65,163.0,JAMMU & KASHMIR,Udhampur,27.608833422707548,96.23256092449553,95.30317477133877,99.54077901818358
1,19,75,Majalta,9243,47663,235.35,203.0,JAMMU & KASHMIR,Udhampur,39.27342256214149,100.0,100.0,100.0
1,20,76,Gool-Gulabgarh,25782,147843,857.26,172.0,JAMMU & KASHMIR,Reasi,30.074889765065443,100.0,100.0,100.0
1,20,77,Reasi,30907,166824,861.53,194.0,JAMMU & KASHMIR,Reasi,35.874548767889685,83.81767611374862,83.72536965735917,95.47200910008937
1,21,78,Akhnoor,54133,250446,969.5,258.0,JAMMU & KASHMIR,Jammu,55.83599793708097,87.37412456178178,89.14340605545601,99.09953584321815
1,21,79,Jammu,195906,970335,1069.72,907.0,JAMMU & KASHMIR,Jammu,183.13764349549413,29.359963311639792,28.879156330076672,79.31514788916726
