State_code,District_code,Subdistrict_code,Subdistrict,Subdistrict_name,T/r/u,Number_of_villages_habitated,Unhabitated,Number of towns,Number of households,population,Area,population density
1,7,29,SUB-DISTRICT,Bani,Total,33,0,0,8096,45996,468.12,98.0
1,7,29,SUB-DISTRICT,Bani,Rural,33,0,0,8096,45996,468.12,98.0
1,7,29,SUB-DISTRICT,Bani,Urban,0,0,0,0,0,0.0,0.0
1,7,30,SUB-DISTRICT,Kathua,Total,163,8,3,41206,210949,563.89,374.0
1,7,30,SUB-DISTRICT,Kathua,Rural,163,8,0,27005,139941,533.69,262.0
1,7,30,SUB-DISTRICT,Kathua,Urban,0,0,3,14201,71008,30.2,2351.0
1,7,31,SUB-DISTRICT,Hiranagar,Total,197,6,1,28282,137798,388.92,354.0
1,7,31,SUB-DISTRICT,Hiranagar,Rural,197,6,0,26559,129504,384.92,336.0
1,7,31,SUB-DISTRICT,Hiranagar,Urban,0,0,1,1723,8294,4.0,2074.0
1,8,0,DISTRICT,Baramula,Total,509,9,7,152635,1008039,4243.0,238.0
1,8,0,DISTRICT,Baramula,Rural,509,9,0,125346,825539,4179.44,198.0
1,8,0,DISTRICT,Baramula,Urban,0,0,7,27289,182500,63.56,2871.0
1,8,32,SUB-DISTRICT,Sopore,Total,57,1,1,33709,219913,170.09,1293.0
1,8,32,SUB-DISTRICT,Sopore,Rural,57,1,0,22517,148621,151.19,983.0
1,8,32,SUB-DISTRICT,Sopore,Urban,0,0,1,11192,71292,18.9,3772.0
1,8,33,SUB-DISTRICT,Rafiabad,Total,77,0,1,14178,92639,113.34,817.0
1,8,33,SUB-DISTRICT,Rafiabad,Rural,77,0,0,13246,85624,107.34,798.0
1,8,33,SUB-DISTRICT,Rafiabad,Urban,0,0,1,932,7015,6.0,1169.0
1,8,34,SUB-DISTRICT,Pattan,Total,94,1,1,28428,229155,181.34,1264.0
1,8,34,SUB-DISTRICT,Pattan,Rural,94,1,0,26341,209617,181.06,1158.0
1,8,34,SUB-DISTRICT,Pattan,Urban,0,0,1,2087,19538,0.28,69779.0
1,8,35,SUB-DISTRICT,Baramulla,Total,42,0,1,24196,149649,122.36,1223.0
1,8,35,SUB-DISTRICT,Baramulla,Rural,42,0,0,12471,78215,98.38,795.0
1,8,35,SUB-DISTRICT,Baramulla,Urban,0,0,1,11725,71434,23.98,2979.0
1,8,36,SUB-DISTRICT,Kreeri,Total,50,0,0,11402,66954,84.19,795.0
1,8,36,SUB-DISTRICT,Kreeri,Rural,50,0,0,11402,66954,84.19,795.0
1,8,36,SUB-DISTRICT,Kreeri,Urban,0,0,0,0,0,0.0,0.0
1,8,37,SUB-DISTRICT,Uri,Total,41,7,1,12109,74867,160.05,468.0
1,8,37,SUB-DISTRICT,Uri,Rural,41,7,0,11139,65501,155.15,422.0
1,8,37,SUB-DISTRICT,Uri,Urban,0,0,1,970,9366,4.9,1911.0
1,8,38,SUB-DISTRICT,Boniyar,Total,52,0,0,11912,72564,95.59,759.0
1,8,38,SUB-DISTRICT,Boniyar,Rural,52,0,0,11912,72564,95.59,759.0
1,8,38,SUB-DISTRICT,Boniyar,Urban,0,0,0,0,0,0.0,0.0
1,8,39,SUB-DISTRICT,Tangmarg,Total,96,0,2,16701,102298,111.43,918.0
1,8,39,SUB-DISTRICT,Tangmarg,Rural,96,0,0,16318,98443,101.93,966.0
1,8,39,SUB-DISTRICT,Tangmarg,Urban,0,0,2,383,3855,9.5,406.0
1,9,0,DISTRICT,Bandipore,Total,119,3,3,58392,392232,345.0,1137.0
1,9,0,DISTRICT,Bandipore,Rural,119,3,0,48794,326871,295.37,1107.0
1,9,0,DISTRICT,Bandipore,Urban,0,0,3,9598,65361,49.63,1317.0
1,9,40,SUB-DISTRICT,Gurez,Total,28,0,0,5026,37992,44.66,851.0
1,9,40,SUB-DISTRICT,Gurez,Rural,28,0,0,5026,37992,44.66,851.0
1,9,40,SUB-DISTRICT,Gurez,Urban,0,0,0,0,0,0.0,0.0
1,9,41,SUB-DISTRICT,Bandipora,Total,41,1,1,28360,177738,116.21,1529.0
