State_code_x,District_code,Subdistrict_code,Subdistrict_name_x,T/r/u,Number of households,population,Area,population density,Subdistrict_name_y,State_code_y,Subdistrict_name
1,8,33,Rafiabad,Total,14178,92639,113.34,817.0,JAMMU & KASHMIR,1,Baramula
1,8,33,Rafiabad,Rural,13246,85624,107.34,798.0,JAMMU & KASHMIR,1,Baramula
1,8,33,Rafiabad,Urban,932,7015,6.0,1169.0,JAMMU & KASHMIR,1,Baramula
1,8,34,Pattan,Total,28428,229155,181.34,1264.0,JAMMU & KASHMIR,1,Baramula
1,8,34,Pattan,Rural,26341,209617,181.06,1158.0,JAMMU & KASHMIR,1,Baramula
1,8,34,Pattan,Urban,2087,19538,0.28,69779.0,JAMMU & KASHMIR,1,Baramula
1,8,35,Baramulla,Total,24196,149649,122.36,1223.0,JAMMU & KASHMIR,1,Baramula
1,8,35,Baramulla,Rural,12471,78215,98.38,795.0,JAMMU & KASHMIR,1,Baramula
1,8,35,Baramulla,Urban,11725,71434,23.98,2979.0,JAMMU & KASHMIR,1,Baramula
1,8,36,Kreeri,Total,11402,66954,84.19,795.0,JAMMU & KASHMIR,1,Baramula
1,8,36,Kreeri,Rural,11402,66954,84.19,795.0,JAMMU & KASHMIR,1,Baramula
1,8,36,Kreeri,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Baramula
1,8,37,Uri,Total,12109,74867,160.05,468.0,JAMMU & KASHMIR,1,Baramula
1,8,37,Uri,Rural,11139,65501,155.15,422.0,JAMMU & KASHMIR,1,Baramula
1,8,37,Uri,Urban,970,9366,4.9,1911.0,JAMMU & KASHMIR,1,Baramula
1,8,38,Boniyar,Total,11912,72564,95.59,759.0,JAMMU & KASHMIR,1,Baramula
1,8,38,Boniyar,Rural,11912,72564,95.59,759.0,JAMMU & KASHMIR,1,Baramula
1,8,38,Boniyar,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Baramula
1,8,39,Tangmarg,Total,16701,102298,111.43,918.0,JAMMU & KASHMIR,1,Baramula
1,8,39,Tangmarg,Rural,16318,98443,101.93,966.0,JAMMU & KASHMIR,1,Baramula
1,8,39,Tangmarg,Urban,383,3855,9.5,406.0,JAMMU & KASHMIR,1,Baramula
1,9,40,Gurez,Total,5026,37992,44.66,851.0,JAMMU & KASHMIR,1,Bandipore
1,9,40,Gurez,Rural,5026,37992,44.66,851.0,JAMMU & KASHMIR,1,Bandipore
1,9,40,Gurez,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Bandipore
1,9,41,Bandipora,Total,28360,177738,116.21,1529.0,JAMMU & KASHMIR,1,Bandipore
1,9,41,Bandipora,Rural,22776,140657,102.81,1368.0,JAMMU & KASHMIR,1,Bandipore
1,9,41,Bandipora,Urban,5584,37081,13.4,2767.0,JAMMU & KASHMIR,1,Bandipore
1,9,42,Sonawari,Total,25006,176502,184.0,959.0,JAMMU & KASHMIR,1,Bandipore
1,9,42,Sonawari,Rural,20992,148222,147.77,1003.0,JAMMU & KASHMIR,1,Bandipore
1,9,42,Sonawari,Urban,4014,28280,36.23,781.0,JAMMU & KASHMIR,1,Bandipore
1,10,43,Srinagar (North),Total,188079,1216358,298.07,4081.0,JAMMU & KASHMIR,1,Srinagar
1,10,43,Srinagar (North),Rural,1710,10910,11.59,941.0,JAMMU & KASHMIR,1,Srinagar
1,10,43,Srinagar (North),Urban,186369,1205448,286.48,4208.0,JAMMU & KASHMIR,1,Srinagar
1,10,44,Srinagar (South),Total,3599,20471,12.42,1648.0,JAMMU & KASHMIR,1,Srinagar
1,10,44,Srinagar (South),Rural,1134,6403,4.37,1465.0,JAMMU & KASHMIR,1,Srinagar
1,10,44,Srinagar (South),Urban,2465,14068,8.05,1748.0,JAMMU & KASHMIR,1,Srinagar
1,11,45,Lar,Total,13620,90694,82.92,1094.0,JAMMU & KASHMIR,1,Ganderbal
1,11,45,Lar,Rural,12072,80223,73.38,1093.0,JAMMU & KASHMIR,1,Ganderbal
1,11,45,Lar,Urban,1548,10471,9.54,1098.0,JAMMU & KASHMIR,1,Ganderbal
1,11,46,Kangan,Total,18326,120934,90.44,1337.0,JAMMU & KASHMIR,1,Ganderbal
1,11,46,Kangan,Rural,18326,120934,90.44,1337.0,JAMMU & KASHMIR,1,Ganderbal
1,11,46,Kangan,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Ganderbal
1,11,47,Ganderbal,Total,13415,85818,85.96,998.0,JAMMU & KASHMIR,1,Ganderbal
1,11,47,Ganderbal,Rural,7997,49250,70.1,703.0,JAMMU & KASHMIR,1,Ganderbal
1,11,47,Ganderbal,Urban,5418,36568,15.86,2306.0,JAMMU & KASHMIR,1,Ganderbal
1,12,48,Pampore,Total,12350,81564,112.41,726.0,JAMMU & KASHMIR,1,Pulwama
1,12,48,Pampore,Rural,7618,50033,82.46,607.0,JAMMU & KASHMIR,1,Pulwama
1,12,48,Pampore,Urban,4732,31531,29.95,1053.0,JAMMU & KASHMIR,1,Pulwama
1,12,49,Awantipora,Total,12091,86507,116.92,740.0,JAMMU & KASHMIR,1,Pulwama
1,12,49,Awantipora,Rural,11008,73860,111.92,660.0,JAMMU & KASHMIR,1,Pulwama
1,12,49,Awantipora,Urban,1083,12647,5.0,2529.0,JAMMU & KASHMIR,1,Pulwama
1,12,50,Tral,Total,18659,110196,117.87,935.0,JAMMU & KASHMIR,1,Pulwama
1,12,50,Tral,Rural,16303,92352,117.27,788.0,JAMMU & KASHMIR,1,Pulwama
1,12,50,Tral,Urban,2356,17844,0.6,29740.0,JAMMU & KASHMIR,1,Pulwama
1,12,51,Pulwama,Total,43141,282173,288.68,977.0,JAMMU & KASHMIR,1,Pulwama
1,12,51,Pulwama,Rural,40658,263733,285.68,923.0,JAMMU & KASHMIR,1,Pulwama
1,12,51,Pulwama,Urban,2483,18440,3.0,6147.0,JAMMU & KASHMIR,1,Pulwama
1,13,52,Shopian,Total,44411,266215,311.73,854.0,JAMMU & KASHMIR,1,Shupiyan
1,13,52,Shopian,Rural,41858,249855,306.29,816.0,JAMMU & KASHMIR,1,Shupiyan
1,13,52,Shopian,Urban,2553,16360,5.44,3007.0,JAMMU & KASHMIR,1,Shupiyan
1,14,53,Pahalgam,Total,19277,119884,125.22,957.0,JAMMU & KASHMIR,1,Anantnag
1,14,53,Pahalgam,Rural,17300,104101,103.2,1009.0,JAMMU & KASHMIR,1,Anantnag
1,14,53,Pahalgam,Urban,1977,15783,22.02,717.0,JAMMU & KASHMIR,1,Anantnag
1,14,54,Bijbehara,Total,20450,146801,142.1,1033.0,JAMMU & KASHMIR,1,Anantnag
1,14,54,Bijbehara,Rural,15770,112197,131.09,856.0,JAMMU & KASHMIR,1,Anantnag
1,14,54,Bijbehara,Urban,4680,34604,11.01,3143.0,JAMMU & KASHMIR,1,Anantnag
1,14,55,Anantnag,Total,48726,364763,188.83,1932.0,JAMMU & KASHMIR,1,Anantnag
1,14,55,Anantnag,Rural,25995,179530,143.12,1254.0,JAMMU & KASHMIR,1,Anantnag
1,14,55,Anantnag,Urban,22731,185233,45.71,4052.0,JAMMU & KASHMIR,1,Anantnag
1,14,56,Shangus,Total,12400,74103,59.09,1254.0,JAMMU & KASHMIR,1,Anantnag
1,14,56,Shangus,Rural,11192,66228,57.09,1160.0,JAMMU & KASHMIR,1,Anantnag
1,14,56,Shangus,Urban,1208,7875,2.0,3938.0,JAMMU & KASHMIR,1,Anantnag
1,14,57,Kokernag,Total,27343,173712,126.01,1379.0,JAMMU & KASHMIR,1,Anantnag
1,14,57,Kokernag,Rural,26443,167159,123.01,1359.0,JAMMU & KASHMIR,1,Anantnag
1,14,57,Kokernag,Urban,900,6553,3.0,2184.0,JAMMU & KASHMIR,1,Anantnag
1,14,58,Dooru,Total,25444,199429,130.69,1526.0,JAMMU & KASHMIR,1,Anantnag
1,14,58,Dooru,Rural,20948,166590,116.19,1434.0,JAMMU & KASHMIR,1,Anantnag
1,14,58,Dooru,Urban,4496,32839,14.5,2265.0,JAMMU & KASHMIR,1,Anantnag
1,15,59,Kulgam,Total,49700,285773,265.36,1077.0,JAMMU & KASHMIR,1,Kulgam
1,15,59,Kulgam,Rural,37288,214925,215.99,995.0,JAMMU & KASHMIR,1,Kulgam
1,15,59,Kulgam,Urban,12412,70848,49.37,1435.0,JAMMU & KASHMIR,1,Kulgam
1,15,60, Devsar,Total,4924,31893,20.37,1566.0,JAMMU & KASHMIR,1,Kulgam
1,15,60, Devsar,Rural,3530,22128,19.94,1110.0,JAMMU & KASHMIR,1,Kulgam
1,15,60, Devsar,Urban,1394,9765,0.43,22709.0,JAMMU & KASHMIR,1,Kulgam
1,15,61,Damhal Hanjipora,Total,19104,106817,124.64,857.0,JAMMU & KASHMIR,1,Kulgam
1,15,61,Damhal Hanjipora,Rural,19104,106817,124.64,857.0,JAMMU & KASHMIR,1,Kulgam
1,15,61,Damhal Hanjipora,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Kulgam
1,16,62,Doda,Total,41297,202716,1023.61,198.0,JAMMU & KASHMIR,1,Doda
1,16,62,Doda,Rural,36700,181111,1009.36,179.0,JAMMU & KASHMIR,1,Doda
1,16,62,Doda,Urban,4597,21605,14.25,1516.0,JAMMU & KASHMIR,1,Doda
1,16,63,Thathri,Total,11129,59955,123.54,485.0,JAMMU & KASHMIR,1,Doda
1,16,63,Thathri,Rural,11129,59955,123.54,485.0,JAMMU & KASHMIR,1,Doda
1,16,63,Thathri,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Doda
1,16,64,Gandoh,Total,13216,71889,105.08,684.0,JAMMU & KASHMIR,1,Doda
1,16,64,Gandoh,Rural,13216,71889,105.08,684.0,JAMMU & KASHMIR,1,Doda
1,16,64,Gandoh,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Doda
1,16,65,Bhaderwah,Total,13994,75376,112.17,672.0,JAMMU & KASHMIR,1,Doda
1,16,65,Bhaderwah,Rural,11872,64292,106.67,603.0,JAMMU & KASHMIR,1,Doda
1,16,65,Bhaderwah,Urban,2122,11084,5.5,2015.0,JAMMU & KASHMIR,1,Doda
1,17,66,Banihal,Total,25018,125045,563.08,222.0,JAMMU & KASHMIR,1,Ramban
1,17,66,Banihal,Rural,24373,121145,559.01,217.0,JAMMU & KASHMIR,1,Ramban
1,17,66,Banihal,Urban,645,3900,4.07,958.0,JAMMU & KASHMIR,1,Ramban
1,17,67,Ramban,Total,30472,158668,765.96,207.0,JAMMU & KASHMIR,1,Ramban
1,17,67,Ramban,Rural,28955,150757,754.95,200.0,JAMMU & KASHMIR,1,Ramban
1,17,67,Ramban,Urban,1517,7911,11.01,719.0,JAMMU & KASHMIR,1,Ramban
1,18,68,Kishtwar,Total,24115,129489,780.3,166.0,JAMMU & KASHMIR,1,Kishtwar
1,18,68,Kishtwar,Rural,21405,114624,779.67,147.0,JAMMU & KASHMIR,1,Kishtwar
1,18,68,Kishtwar,Urban,2710,14865,0.63,23595.0,JAMMU & KASHMIR,1,Kishtwar
1,18,69,Marwah,Total,7106,35572,307.35,116.0,JAMMU & KASHMIR,1,Kishtwar
1,18,69,Marwah,Rural,7106,35572,307.35,116.0,JAMMU & KASHMIR,1,Kishtwar
1,18,69,Marwah,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Kishtwar
1,18,70,Chhatroo,Total,9729,44087,308.52,143.0,JAMMU & KASHMIR,1,Kishtwar
1,18,70,Chhatroo,Rural,9729,44087,308.52,143.0,JAMMU & KASHMIR,1,Kishtwar
1,18,70,Chhatroo,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Kishtwar
1,18,71,Atholi (Paddar),Total,4259,21548,248.11,87.0,JAMMU & KASHMIR,1,Kishtwar
1,18,71,Atholi (Paddar),Rural,4259,21548,248.11,87.0,JAMMU & KASHMIR,1,Kishtwar
1,18,71,Atholi (Paddar),Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Kishtwar
1,19,72,Udhampur,Total,50555,275559,808.71,341.0,JAMMU & KASHMIR,1,Udhampur
1,19,72,Udhampur,Rural,32338,177828,771.39,231.0,JAMMU & KASHMIR,1,Udhampur
1,19,72,Udhampur,Urban,18217,97731,37.32,2619.0,JAMMU & KASHMIR,1,Udhampur
1,19,73,Chenani,Total,11125,64753,312.12,207.0,JAMMU & KASHMIR,1,Udhampur
1,19,73,Chenani,Rural,10319,60568,310.33,195.0,JAMMU & KASHMIR,1,Udhampur
1,19,73,Chenani,Urban,806,4185,1.79,2338.0,JAMMU & KASHMIR,1,Udhampur
1,19,74,Ramnagar,Total,28317,167010,1025.65,163.0,JAMMU & KASHMIR,1,Udhampur
1,19,74,Ramnagar,Rural,26987,160718,1020.94,157.0,JAMMU & KASHMIR,1,Udhampur
1,19,74,Ramnagar,Urban,1330,6292,4.71,1336.0,JAMMU & KASHMIR,1,Udhampur
1,19,75,Majalta,Total,9243,47663,235.35,203.0,JAMMU & KASHMIR,1,Udhampur
1,19,75,Majalta,Rural,9243,47663,235.35,203.0,JAMMU & KASHMIR,1,Udhampur
1,19,75,Majalta,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Udhampur
1,20,76,Gool-Gulabgarh,Total,25782,147843,857.26,172.0,JAMMU & KASHMIR,1,Reasi
1,20,76,Gool-Gulabgarh,Rural,25782,147843,857.26,172.0,JAMMU & KASHMIR,1,Reasi
1,20,76,Gool-Gulabgarh,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Reasi
1,20,77,Reasi,Total,30907,166824,861.53,194.0,JAMMU & KASHMIR,1,Reasi
1,20,77,Reasi,Rural,25877,139828,822.52,170.0,JAMMU & KASHMIR,1,Reasi
1,20,77,Reasi,Urban,5030,26996,39.01,692.0,JAMMU & KASHMIR,1,Reasi
1,21,78,Akhnoor,Total,54133,250446,969.5,258.0,JAMMU & KASHMIR,1,Jammu
1,21,78,Akhnoor,Rural,48256,218825,960.77,228.0,JAMMU & KASHMIR,1,Jammu
1,21,78,Akhnoor,Urban,5877,31621,8.73,3622.0,JAMMU & KASHMIR,1,Jammu
1,21,79,Jammu,Total,195906,970335,1069.72,907.0,JAMMU & KASHMIR,1,Jammu
1,21,79,Jammu,Rural,56576,284890,848.45,336.0,JAMMU & KASHMIR,1,Jammu
1,21,79,Jammu,Urban,139330,685445,221.27,3098.0,JAMMU & KASHMIR,1,Jammu
1,21,80,Ranbir Singh Pora,Total,41528,197739,245.26,806.0,JAMMU & KASHMIR,1,Jammu
1,21,80,Ranbir Singh Pora,Rural,35767,169459,238.48,711.0,JAMMU & KASHMIR,1,Jammu
1,21,80,Ranbir Singh Pora,Urban,5761,28280,6.78,4171.0,JAMMU & KASHMIR,1,Jammu
1,21,81,Bishnah,Total,22632,111438,158.18,705.0,JAMMU & KASHMIR,1,Jammu
1,21,81,Bishnah,Rural,18692,91771,142.83,643.0,JAMMU & KASHMIR,1,Jammu
1,21,81,Bishnah,Urban,3940,19667,15.35,1281.0,JAMMU & KASHMIR,1,Jammu
1,22,82,Samba,Total,65385,318898,903.65,353.0,JAMMU & KASHMIR,1,Samba
1,22,82,Samba,Rural,54718,265283,864.89,307.0,JAMMU & KASHMIR,1,Samba
1,22,82,Samba,Urban,10667,53615,38.76,1383.0,JAMMU & KASHMIR,1,Samba
2,23,83,Pangi,Total,3952,18868,1515.455245321114,12.0,HIMACHAL PRADESH,2,Chamba
2,23,83,Pangi,Rural,3952,18868,1515.455245321114,12.0,HIMACHAL PRADESH,2,Chamba
2,23,83,Pangi,Urban,0,0,0.0,0.0,HIMACHAL PRADESH,2,Chamba
2,23,84,Chaurah,Total,14142,78988,1164.894564119854,68.0,HIMACHAL PRADESH,2,Chamba
2,23,84,Chaurah,Rural,14142,78988,1164.894564119854,68.0,HIMACHAL PRADESH,2,Chamba
2,23,84,Chaurah,Urban,0,0,0.0,0.0,HIMACHAL PRADESH,2,Chamba
2,23,85,Saluni,Total,8815,47939,362.0248525754306,132.0,HIMACHAL PRADESH,2,Chamba
2,23,85,Saluni,Rural,8815,47939,362.0248525754306,132.0,HIMACHAL PRADESH,2,Chamba
2,23,85,Saluni,Urban,0,0,0.0,0.0,HIMACHAL PRADESH,2,Chamba
2,23,86,Bhalai,Total,4774,25326,133.25185124403168,190.0,HIMACHAL PRADESH,2,Chamba
2,23,86,Bhalai,Rural,4774,25326,133.25185124403168,190.0,HIMACHAL PRADESH,2,Chamba
2,23,86,Bhalai,Urban,0,0,0.0,0.0,HIMACHAL PRADESH,2,Chamba
2,23,87,Dalhousie,Total,9514,46760,159.95734751725522,292.0,HIMACHAL PRADESH,2,Chamba
2,23,87,Dalhousie,Rural,7507,36160,148.25734751725523,244.0,HIMACHAL PRADESH,2,Chamba
2,23,87,Dalhousie,Urban,2007,10600,11.7,906.0,HIMACHAL PRADESH,2,Chamba
2,23,88,Bhattiyat,Total,8897,42967,248.8837917206384,173.0,HIMACHAL PRADESH,2,Chamba
2,23,88,Bhattiyat,Rural,7596,37392,244.17379172063835,153.0,HIMACHAL PRADESH,2,Chamba
2,23,88,Bhattiyat,Urban,1301,5575,4.71,1184.0,HIMACHAL PRADESH,2,Chamba
2,23,89,Sihunta,Total,8297,39871,264.1863677579328,151.0,HIMACHAL PRADESH,2,Chamba
2,23,89,Sihunta,Rural,8297,39871,264.1863677579328,151.0,HIMACHAL PRADESH,2,Chamba
2,23,89,Sihunta,Urban,0,0,0.0,0.0,HIMACHAL PRADESH,2,Chamba
2,23,90,Chamba,Total,35900,179253,1012.2771446685192,177.0,HIMACHAL PRADESH,2,Chamba
2,23,90,Chamba,Rural,31344,159320,1007.9471446685192,158.0,HIMACHAL PRADESH,2,Chamba
2,23,90,Chamba,Urban,4556,19933,4.33,4603.0,HIMACHAL PRADESH,2,Chamba
2,23,91,Holi,Total,3027,14094,716.0666401334067,20.0,HIMACHAL PRADESH,2,Chamba
2,23,91,Holi,Rural,3027,14094,716.0666401334067,20.0,HIMACHAL PRADESH,2,Chamba
2,23,91,Holi,Urban,0,0,0.0,0.0,HIMACHAL PRADESH,2,Chamba
