operator,city_name,deployment_type,status,lat,long
Reliance Jio,Muzaffarnagar,5G NR,Commercial Availability,29.47268,77.70851
Reliance Jio,North Lakhimpur,5G NR,Commercial Availability,27.22532,94.10533
Reliance Jio,Raichur,5G NR,Commercial Availability,16.212,77.34393
Reliance Jio,Satna,5G NR,Commercial Availability,24.60051,80.83224
Reliance Jio,Sivasagar,5G NR,Commercial Availability,26.98261,94.64245
Reliance Jio,Thoubal,5G NR,Commercial Availability,24.64492,93.99929
Reliance Jio,Tinsukia,5G NR,Commercial Availability,27.49219,95.34678
Reliance Jio,Anakapalle,5G NR,Commercial Availability,17.68959,82.99773
Reliance Jio,Anantnag,5G NR,Commercial Availability,33.73113,75.1487
Reliance Jio,Arrah,5G NR,Commercial Availability,25.55604,84.66033
Reliance Jio,Bankura,5G NR,Commercial Availability,23.23241,87.0786
Reliance Jio,Barabanki,5G NR,Commercial Availability,26.94,81.19
Reliance Jio,Bardhaman,5G NR,Commercial Availability,23.231418,87.861368
Reliance Jio,Beed,5G NR,Commercial Availability,18.98909,75.76008
Reliance Jio,Begusarai,5G NR,Commercial Availability,25.41668,86.12938
Reliance Jio,Berhampore,5G NR,Commercial Availability,24.09883,88.26793
Reliance Jio,Bhadravathi,5G NR,Commercial Availability,13.90576,75.73487
Reliance Jio,Bhatapara,5G NR,Commercial Availability,21.73837,81.94803
Reliance Jio,Bihar Sharif,5G NR,Commercial Availability,25.19821,85.51487
Reliance Jio,Chakan,5G NR,Commercial Availability,18.76027,73.86303
Reliance Jio,Changanassery,5G NR,Commercial Availability,9.44589,76.54097
Reliance Jio,Chintamani,5G NR,Commercial Availability,13.40197,78.05514
Reliance Jio,Darbhanga,5G NR,Commercial Availability,26.11187,85.896
Reliance Jio,Dhule,5G NR,Commercial Availability,20.90422,74.7749
Reliance Jio,Doddaballapura,5G NR,Commercial Availability,13.29273,77.53891
Reliance Jio,Malda,5G NR,Commercial Availability,25.01084,88.1411
Reliance Jio,Habra,5G NR,Commercial Availability,22.84885,88.66396
Reliance Jio,Jagdalpur,5G NR,Commercial Availability,19.0741,82.00801
Reliance Jio,Jagtial,5G NR,Commercial Availability,18.79089,78.91185
Reliance Jio,Jalna,5G NR,Commercial Availability,19.82969,75.88003
Reliance Jio,Jammu,5G NR,Commercial Availability,32.7266,74.85703
Reliance Jio,Kashipur,5G NR,Commercial Availability,29.21042,78.96188
Reliance Jio,Katni,5G NR,Commercial Availability,23.83085,80.40723
Reliance Jio,Katras,5G NR,Commercial Availability,23.80815,86.29203
Reliance Jio,Kharagpur,5G NR,Commercial Availability,22.34601,87.23198
Reliance Jio,Kodad,5G NR,Commercial Availability,16.99512,79.97203
Reliance Jio,Kodungallur,5G NR,Commercial Availability,10.22443,76.19777
Reliance Jio,Kolar,5G NR,Commercial Availability,13.13574,78.13256
Reliance Jio,Kothagudem,5G NR,Commercial Availability,17.556,80.6144
Reliance Jio,Kovilpatti,5G NR,Commercial Availability,9.16741,77.87674
Reliance Jio,Machilipatnam,5G NR,Commercial Availability,16.19055,81.13615
Reliance Jio,Malegaon,5G NR,Commercial Availability,20.55475,74.51003
Reliance Jio,Mussoorie,5G NR,Commercial Availability,30.45991,78.0664
Reliance Jio,Muvattupuzha,5G NR,Commercial Availability,9.98942,76.57897
Reliance Jio,Nirmal,5G NR,Commercial Availability,19.09641,78.34298
Reliance Jio,Pathankot,5G NR,Commercial Availability,32.26434,75.64211
Reliance Jio,Pollachi,5G NR,Commercial Availability,10.65727,77.01067
Reliance Jio,Purnia,5G NR,Commercial Availability,25.82574,87.48453
Reliance Jio,Ramanagara,5G NR,Commercial Availability,12.70945,77.28074
Reliance Jio,Ramnagar,5G NR,Commercial Availability,29.39476,79.1265
Reliance Jio,Rampur,5G NR,Commercial Availability,28.7893,79.02495
Reliance Jio,Sangareddy,5G NR,Commercial Availability,17.61942,78.08231
Reliance Jio,Satara,5G NR,Commercial Availability,17.68046,74.01826
Reliance Jio,Siddipet,5G NR,Commercial Availability,18.1019,78.85208
Reliance Jio,Srinagar,5G NR,Commercial Availability,34.08367,74.79728
Reliance Jio,Tadipatri,5G NR,Commercial Availability,14.90703,78.00927
Reliance Jio,Tandur,5G NR,Commercial Availability,17.25758,77.58746
Reliance Jio,Tirunelveli,5G NR,Commercial Availability,8.71391,77.75665
Reliance Jio,Vapi,5G NR,Commercial Availability,20.38932,72.91062
Reliance Jio,Zahirabad,5G NR,Commercial Availability,17.677901,77.605212
Reliance Jio,Amalapuram,5G NR,Commercial Availability,16.57209,82.00085
Reliance Jio,Dharmavaram,5G NR,Commercial Availability,14.41374,77.71262
Reliance Jio,Kavali,5G NR,Commercial Availability,14.91318,79.99298
Reliance Jio,Tanuku,5G NR,Commercial Availability,16.75717,81.67996
Reliance Jio,Tuni,5G NR,Commercial Availability,17.35527,82.54293
Reliance Jio,Vinukonda,5G NR,Commercial Availability,16.05684,79.74533
Reliance Jio,Bhiwani,5G NR,Commercial Availability,28.79904,76.13351
Reliance Jio,Jind,5G NR,Commercial Availability,29.32112,76.30583
Reliance Jio,Kaithal,5G NR,Commercial Availability,29.78567,76.39845
Reliance Jio,Rewari,5G NR,Commercial Availability,28.19276,76.62394
Reliance Jio,Dharamshala,5G NR,Commercial Availability,32.21904,76.3234
Reliance Jio,Kangra,5G NR,Commercial Availability,32.0998,76.2691
Reliance Jio,Baramulla,5G NR,Commercial Availability,34.19905,74.34995
Reliance Jio,Kathua,5G NR,Commercial Availability,32.38648,75.51727
Reliance Jio,Katra,5G NR,Commercial Availability,32.9915,74.93182
Reliance Jio,Sopore,5G NR,Commercial Availability,34.28676,74.4624
Reliance Jio,Haveri,5G NR,Commercial Availability,14.7959,75.39713
Reliance Jio,Karwar,5G NR,Commercial Availability,14.81848,74.14161
Reliance Jio,Ranebennur,5G NR,Commercial Availability,14.61134,75.63827
Reliance Jio,Attingal,5G NR,Commercial Availability,8.69503,76.81788
Reliance Jio,Tura,5G NR,Commercial Availability,25.51407,90.20321
Reliance Jio,Bhawanipatna,5G NR,Commercial Availability,19.90743,83.16416
Reliance Jio,Jatni,5G NR,Commercial Availability,20.17038,85.70587
Reliance Jio,Khordha,5G NR,Commercial Availability,20.185727,85.622105
Reliance Jio,Sundargarh,5G NR,Commercial Availability,22.124,84.04318
Reliance Jio,Ambur,5G NR,Commercial Availability,13.6533,79.91647
Reliance Jio,Chidambaram,5G NR,Commercial Availability,11.39819,79.69536
Reliance Jio,Namakkal,5G NR,Commercial Availability,11.21944,78.16772
Reliance Jio,Pudukkottai,5G NR,Commercial Availability,10.37966,78.82085
Reliance Jio,Ramanathapuram,5G NR,Commercial Availability,11.954,79.72036
Reliance Jio,Sivakasi,5G NR,Commercial Availability,9.45329,77.80242
Reliance Jio,Tiruchengode,5G NR,Commercial Availability,11.37875,77.895051
Reliance Jio,Viluppuram,5G NR,Commercial Availability,11.939828,79.486076
Reliance Jio,Suryapet,5G NR,Commercial Availability,17.13531,79.63337
Reliance Jio,Adoni,5G NR,Commercial Availability,15.63222,77.27284
Reliance Jio,Badvel,5G NR,Commercial Availability,14.73091,79.05886
Reliance Jio,Chilakaluripet,5G NR,Commercial Availability,16.09243,80.16239
Reliance Jio,Gudivada,5G NR,Commercial Availability,16.44103,80.99263
Reliance Jio,Kadiri,5G NR,Commercial Availability,14.11303,78.16056
Reliance Jio,Narsapur,5G NR,Commercial Availability,16.43298,81.69662
Reliance Jio,Rayachoti,5G NR,Commercial Availability,15.90043,77.6196
Reliance Jio,Srikalahasti,5G NR,Commercial Availability,13.75202,79.70373
Reliance Jio,Tadepalligudem,5G NR,Commercial Availability,16.81384,81.52124
Reliance Jio,Margao,5G NR,Commercial Availability,15.28322,73.98619
Reliance Jio,Fatehabad,5G NR,Commercial Availability,29.50772,75.45195
Reliance Jio,Gohana,5G NR,Commercial Availability,29.13841,76.69324
Reliance Jio,Hansi,5G NR,Commercial Availability,29.09718,75.96374
Reliance Jio,Narnaul,5G NR,Commercial Availability,28.0658,76.10148
