operator,city_name,deployment_type,status,lat,long
Reliance Jio,Sangli,5G NR,Commercial Availability,16.8524,74.58148
Reliance Jio,Sirsa,5G NR,Commercial Availability,29.53359,75.0177
Reliance Jio,Sonipat,5G NR,Commercial Availability,28.92877,77.09128
Reliance Jio,Srikakulam,5G NR,Commercial Availability,18.29697,83.89678
Reliance Jio,Thoothukudi,5G NR,Commercial Availability,8.76417,78.13484
Airtel,Tiruchirappalli,5G NR,Commercial Availability,10.79048,78.70467
Airtel,Hosur,5G NR,Commercial Availability,12.74091,77.82529
Airtel,Madurai,5G NR,Commercial Availability,9.9252,78.11978
Airtel,Coimbatore,5G NR,Commercial Availability,11.01684,76.95583
Reliance Jio,Agartala,5G NR,Commercial Availability,23.83146,91.28678
Reliance Jio,Tumakuru,5G NR,Commercial Availability,13.33917,77.114
Reliance Jio,Udupi,5G NR,Commercial Availability,13.33712,74.7466
Reliance Jio,Vijayapura,5G NR,Commercial Availability,16.83017,75.71003
Reliance Jio,Shillong,5G NR,Commercial Availability,25.57877,91.89325
Reliance Jio,Imphal,5G NR,Commercial Availability,24.81701,93.93684
Reliance Jio,Vizianagaram,5G NR,Commercial Availability,18.10666,83.39555
Airtel,Guntur,5G NR,Commercial Availability,16.30665,80.43654
Airtel,Kakinada,5G NR,Commercial Availability,16.98906,82.24746
Airtel,Karimnagar,5G NR,Commercial Availability,18.43856,79.12884
Airtel,Kathua,5G NR,Commercial Availability,32.38648,75.51727
Airtel,Khour,5G NR,Commercial Availability,32.6023,74.808357
Airtel,Kupwara,5G NR,Commercial Availability,34.52581,74.254425
Airtel,Kurnool,5G NR,Commercial Availability,15.82813,78.03728
Airtel,Lakhanpur,5G NR,Commercial Availability,27.21662,77.92103
Airtel,Rajamahendravaram,5G NR,Commercial Availability,17.00054,81.80403
Airtel,Samba,5G NR,Commercial Availability,32.552309,75.110561
Airtel,Tirupati,5G NR,Commercial Availability,13.62876,79.41918
Airtel,Udhampur,5G NR,Commercial Availability,32.91598,75.14162
Airtel,Vijayawada,5G NR,Commercial Availability,16.50617,80.64802
Airtel,Warangal,5G NR,Commercial Availability,17.9689,79.59405
Reliance Jio,Adilabad,5G NR,Commercial Availability,19.66406,78.53201
Reliance Jio,Ajmer,5G NR,Commercial Availability,26.4499,74.63992
Reliance Jio,Ambikapur,5G NR,Commercial Availability,23.13549,83.18179
Reliance Jio,Anantapur,5G NR,Commercial Availability,14.68189,77.60059
Reliance Jio,Balangir,5G NR,Commercial Availability,20.70742,83.48427
Reliance Jio,Bhimavaram,5G NR,Commercial Availability,16.54489,81.52124
Reliance Jio,Chirala,5G NR,Commercial Availability,15.81358,80.35473
Reliance Jio,Chitradurga,5G NR,Commercial Availability,14.23056,76.39845
Reliance Jio,Cuddalore,5G NR,Commercial Availability,11.7447,79.76802
Reliance Jio,Dhamtari,5G NR,Commercial Availability,20.7015,81.55416
Reliance Jio,Dibrugarh,5G NR,Commercial Availability,27.47283,94.91196
Reliance Jio,Dindigul,5G NR,Commercial Availability,10.36731,77.98029
Reliance Jio,Gaya,5G NR,Commercial Availability,24.79545,84.99943
Reliance Jio,Guntakal,5G NR,Commercial Availability,15.16741,77.37362
Reliance Jio,Jalandhar,5G NR,Commercial Availability,31.32602,75.57618
Reliance Jio,Jalgaon,5G NR,Commercial Availability,21.00766,75.5626
Reliance Jio,Jorhat,5G NR,Commercial Availability,26.74652,94.20259
